"partner","description","cif_value_cedi","net_weight_kg","net_weight_cedi_kg","share_percent"
"UNITED KIN","Oats, urmilled",9684,108,90,0
"UNITED STA","Oats, urmilled",502436,241,2085,0
"UNITED STA","Grain sorghun, unmilled",439538289,1840075,239,0.02
"UNITED KIN","Cereals, unmilled, nes",181404,257,706,0
"BELGIUM","Flour of wheat or of mesalin",54014288,397120,136,0
"FRANCE","Flour of wheat or of mesalin",306146224,2354022,130,0.02
"GERMAN DEM","Flour of wheat or of mesalin",3163664,20000,158,0
"GERMANY, F","Flour of wheat or of mesalin",308933142,1124913,186,0.01
"ITALY","Flour of wheat or of mesalin",12048,80,151,0
"NETHERLAND","Flour of wheat or of mesalin",40062257,243000,165,0
"UNITED KIN","Flour of wheat or of mesalin",3724157,10390,358,0
"UNITED STA","Flour of wheat or of mesalin",24384066,69258,352,0
"FRANCE","Groats, meal and pellets, of wheat",34858,80,436,0
"UNITED STA","Groats, meal and pellets, of wheat",446231307,1729600,258,0.02
"FRANCE","Mazie (corn) flour",24040,300,80,0
"INDIA","Mazie (corn) flour",325557,511,637,0
"ITALY","Mazie (corn) flour",17349,80,217,0
"LEBANON","Mazie (corn) flour",578476,1320,438,0
"NETHERLAND","Mazie (corn) flour",486470,56,8687,0
"SOUTH AFRI","Mazie (corn) flour",311318,40,7783,0
"UNITED KIN","Mazie (corn) flour",1810929,2255,803,0
"GERMANY, F","Other cereal flour, nes",6824,82,83,0
"UNITED KIN","Other cereal flour, nes",737507,1080,683,0
"UNITED STA","Other cereal flour, nes",615380,652,944,0
"HONG KONG","Groats and meal of maize (corn)",676125,1660,407,0
"UNITED STA","Groats and meal of maize (corn)",1596256,18000,89,0
"TAIWAN, PR","Groats and meal of maize (corn)",5829700,4000,1457,0
"NETHERLAND","Groats and meal of maize (corn)",11663607,14010,833,0
"UNITED KIN","Groats and meal of maize (corn)",3063601,19190,160,0
"UNITED STA","Groats and meal of maize (corn)",434289,80,5429,0
"FRANCE","Pellets of cereal other than wheat",160467,900,178,0
"KOREA REPU","Prepared foods obtained by the swelling or roasting of cereals",16094220,6150,2617,0
"UNITED KIN","Prepared foods obtained by the swelling or roasting of cereals",24228951,24929,972,0
"UNITED STA","Prepared foods obtained by the swelling or roasting of cereals",12621,15,841,0
"CANADA","Prepared cereals in grain from (excl. maize)",39396,90,438,0
"FRANCE","Prepared cereals in grain from (excl. maize)",123806,160,774,0
"GERMANY, F","Prepared cereals in grain from (excl. maize)",24040,40,601,0
"UNITED KIN","Prepared cereals in grain from (excl. maize)",10168229,44276,230,0
"UNITED STA","Prepared cereals in grain from (excl. maize)",1476657,1049,1408,0
"GERMANY, F","Other rolled or flaked cereal grains, (excl. rice of heading 042.3)",2329290,10222,228,0
"NETHERLAND","Other rolled or flaked cereal grains, (excl. rice of heading 042.3)",79600647,70080,1136,0
"UNITED KIN","Other rolled or flaked cereal grains, (excl. rice of heading 042.3)",5261620,12983,405,0
"AMERICAN S","Other worked cereal grains, (excl. rice of heading 042.3)",277274,205,1353,0
"BELGIUM","Other worked cereal grains, (excl. rice of heading 042.3)",2092,3,697,0
"CAMEROON,","Other worked cereal grains, (excl. rice of heading 042.3)",800360,44050,18,0
"FRANCE","Other worked cereal grains, (excl. rice of heading 042.3)",4808,4,1202,0
"LEBANON","Other worked cereal grains, (excl. rice of heading 042.3)",92020,980,94,0
"UNITED KIN","Other worked cereal grains, (excl. rice of heading 042.3)",26078,228,114,0
"UNITED STA","Other worked cereal grains, (excl. rice of heading 042.3)",21964,80,275,0
"UNITED KIN","Germ of cereals, whole, rolled, flaked or ground",145523,600,243,0
"BELGIUM","Malt whether or not roasted (incl. Malt flour)",294554890,1219820,241,0.02
"FRANCE","Malt whether or not roasted (incl. Malt flour)",48336506,2e+05,242,0
"GERMANY, F","Malt whether or not roasted (incl. Malt flour)",41879483,193000,217,0
"UNITED KIN","Malt whether or not roasted (incl. Malt flour)",918028807,3097480,298,0.05
"INDIA","Macaroni, etc, (pasta uncooked, not stuffed or otherwise prepared)",49282,6,8214,0
"ITALY","Macaroni, etc, (pasta uncooked, not stuffed or otherwise prepared)",55067543,130144,423,0
"LEBANON","Macaroni, etc, (pasta uncooked, not stuffed or otherwise prepared)",564843,1930,293,0
"UNITED KIN","Macaroni, etc, (pasta uncooked, not stuffed or otherwise prepared)",497136,1664,299,0
"UNITED STA","Macaroni, etc, (pasta uncooked, not stuffed or otherwise prepared)",2786236,5209,535,0
"BELGIUM","Crispbread, rusks, toasted bread and similar productss",297960,340,876,0
"DENMARK","Crispbread, rusks, toasted bread and similar productss",47706,3,15902,0
"FRANCE","Crispbread, rusks, toasted bread and similar productss",110584,92,1202,0
"ITALY","Crispbread, rusks, toasted bread and similar productss",212680,50,4254,0
"UNITED KIN","Crispbread, rusks, toasted bread and similar productss",92633,449,206,0
"UNITED STA","Crispbread, rusks, toasted bread and similar productss",287355,208,1382,0
"BELGIUM","Sweet biscuits, waffles and wafers, gingerbread and the like",7345,7,1049,0
"COLOMBIA","Sweet biscuits, waffles and wafers, gingerbread and the like",23049981,81054,284,0
"COSTA RICA","Sweet biscuits, waffles and wafers, gingerbread and the like",1957457,5164,379,0
"FRANCE","Sweet biscuits, waffles and wafers, gingerbread and the like",409882,460,891,0
"GERMANY, F","Sweet biscuits, waffles and wafers, gingerbread and the like",2927015,3054,958,0
"INDONESIA","Sweet biscuits, waffles and wafers, gingerbread and the like",28950771,43081,672,0
"ITALY","Sweet biscuits, waffles and wafers, gingerbread and the like",4210194,8554,492,0
"JAMAICA","Sweet biscuits, waffles and wafers, gingerbread and the like",27568476,19300,1428,0
"LEBANON","Sweet biscuits, waffles and wafers, gingerbread and the like",5602522,11291,496,0
"MALAYSIA","Sweet biscuits, waffles and wafers, gingerbread and the like",9323914,13100,712,0
"NETHERLAND","Sweet biscuits, waffles and wafers, gingerbread and the like",31517481,81333,388,0
"SAUDI ARAB","Sweet biscuits, waffles and wafers, gingerbread and the like",16724628,28400,589,0
"SINGAPORE","Sweet biscuits, waffles and wafers, gingerbread and the like",12584721,19576,643,0
"SWITZERLAN","Sweet biscuits, waffles and wafers, gingerbread and the like",3606,8,451,0
"UNITED ARA","Sweet biscuits, waffles and wafers, gingerbread and the like",8780827,15100,582,0
"TURKEY","Sweet biscuits, waffles and wafers, gingerbread and the like",11494726,20000,575,0
"UNITED KIN","Sweet biscuits, waffles and wafers, gingerbread and the like",85965123,111186,773,0
"UNITED STA","Sweet biscuits, waffles and wafers, gingerbread and the like",49278661,53250,925,0
"BELGIUM","Other bread, etc, nes; communion wafers, rice paper, etc.",119600,340,352,0
"COLOMBIA","Other bread, etc, nes; communion wafers, rice paper, etc.",5758241,21040,274,0
"DENMARK","Other bread, etc, nes; communion wafers, rice paper, etc.",70688418,23543520,3,0
"FRANCE","Other bread, etc, nes; communion wafers, rice paper, etc.",272854,215,1269,0
"GERMANY, F","Other bread, etc, nes; communion wafers, rice paper, etc.",2335,80,29,0
"ITALY","Other bread, etc, nes; communion wafers, rice paper, etc.",139863,40,3479,0
"LEBANON","Other bread, etc, nes; communion wafers, rice paper, etc.",131411,140,939,0
"NETHERLAND","Other bread, etc, nes; communion wafers, rice paper, etc.",24052494,47489,506,0
"SAUDI ARAB","Other bread, etc, nes; communion wafers, rice paper, etc.",5398182,7659,705,0
"SINGAPORE","Other bread, etc, nes; communion wafers, rice paper, etc.",18937720,41378,458,0
"SWITZERLAN","Other bread, etc, nes; communion wafers, rice paper, etc.",8141095,25969,313,0
"TURKEY","Other bread, etc, nes; communion wafers, rice paper, etc.",14198794,28400,500,0
"UNITED KIN","Other bread, etc, nes; communion wafers, rice paper, etc.",95751370,114220,838,0.01
"UNITED STA","Other bread, etc, nes; communion wafers, rice paper, etc.",94000,175,537,0
"UNITED STA","Mixes and doughs for preparation of bakers' wares of 0484",2400995,3286,731,0
"GERMANY, F","Potatoes, fresh or chilled (excl. sweet potatoes)",2534400,15000,169,0
"NETHERLAND","Potatoes, fresh or chilled (excl. sweet potatoes)",66709216,345980,193,0
"UNITED KIN","Potatoes, fresh or chilled (excl. sweet potatoes)",135504,835,162,0
"UNITED STA","Potatoes, fresh or chilled (excl. sweet potatoes)",10010400,35400,283,0
"ITALY","Peas, dried and shelled",42409,96,442,0
"UNITED STA","Peas, dried and shelled",5323944,4352,1223,0
"FRANCE","Chickpeas, dried and shelled",87145,100,871,0
"CHINA","Beans, other than broad beans and horse beans, dried and shelled",40973175,123550,332,0
"NETHERLAND","Beans, other than broad beans and horse beans, dried and shelled",963463,200,4817,0
"UNITED KIN","Beans, other than broad beans and horse beans, dried and shelled",74893,280,267,0
"UNITED STA","Beans, other than broad beans and horse beans, dried and shelled",2633400,3318,794,0
"FRANCE","Lentils, dried and shelled",36060,90,401,0
"SOUTH AFRI","Broad beans and horse beans, dried and shelled",24040,80,301,0
"ITALY","Leguminous vegetables, dried and shelled, nes",87059,100,871,0
"BELGIUM","Onions and shallots, fresh or chilled",2510400,130000,193,0
"GERMANY, F","Onions and shallots, fresh or chilled",5020800,29000,173,0
"NETHERLAND","Onions and shallots, fresh or chilled",20333802,110000,185,0
"UNITED KIN","Onions and shallots, fresh or chilled",99402,1282,78,0
"UNITED STA","Onions and shallots, fresh or chilled",1356000,6000,226,0
"NETHERLAND","Garlic, leeks and other alliaceous vegetables, fresh or chilled",210388,5000,421,0
"GERMANY, F","Cabbage and similar edible brassicas, fresh or chilled",3016,16,189,0
"UNITED KIN","Cabbage and similar edible brassicas, fresh or chilled",283127,1675,169,0
"UNITED KIN","Lettuce and chicory (incl. Endive), fresh or chilled",38442,117,329,0
"UNITED STA","Lettuce and chicory (incl. Endive), fresh or chilled",111870,67,1670,0
"UNITED KIN","Carrots, turnips, salad beetroot, salsify, etc, fresh or chilled",67764,742,91,0
"UNITED STA","Carrots, turnips, salad beetroot, salsify, etc, fresh or chilled",907472,725,1252,0
"GERMANY, F","Leguminous vegetables, fresh or chilled",6150,18,342,0
"NETHERLAND","Leguminous vegetables, fresh or chilled",144841,40,3621,0
"UNITED KIN","Leguminous vegetables, fresh or chilled",146111,2266,64,0
"UNITED KIN","Mushrooms and truffles, fresh or chilled",51983,356,146,0
"BELGIUM","Other vegetables fresh or chilled, nes",482603,165,2925,0
"NETHERLAND","Other vegetables fresh or chilled, nes",46903,6,7817,0
"UNITED KIN","Other vegetables fresh or chilled, nes",2574360,2831,909,0
"CANADA","Sweets corn,  frozen",76658,80,958,0
"LEBANON","Sweets corn,  frozen",22470,60,375,0
"UNITED KIN","Sweets corn,  frozen",16197,7,2314,0
"UNITED STA","Sweets corn,  frozen",329348,786,419,0
"DENMARK","Other vegetables and mixtures of vegetables, frozen, nes",796080,2458,324,0
"GERMANY, F","Other vegetables and mixtures of vegetables, frozen, nes",621434,1806,344,0
"LEBANON","Other vegetables and mixtures of vegetables, frozen, nes",393225,1031,381,0
"NETHERLAND","Other vegetables and mixtures of vegetables, frozen, nes",7959292,25425,313,0
"UNITED KIN","Other vegetables and mixtures of vegetables, frozen, nes",1011728,1805,561,0
"UNITED STA","Other vegetables and mixtures of vegetables, frozen, nes",2890810,4249,680,0
"FRANCE","Vegetable provisionally preserved, not fit for consumption",400867,565,709,0
"HONG KONG","Vegetable provisionally preserved, not fit for consumption",163175,240,680,0
"NETHERLAND","Vegetable provisionally preserved, not fit for consumption",6277532,58000,108,0
"UNITED KIN","Vegetable provisionally preserved, not fit for consumption",39554,701,56,0
"UNITED STA","Vegetable provisionally preserved, not fit for consumption",32897,240,137,0
"GERMANY, F","Hop cones and lupulin",32820791,2831,11593,0
"NETHERLAND","Potatoes, dried",5507200,28750,192,0
"UNITED KIN","Potatoes, dried",157432,500,315,0
"NETHERLAND","Onions, dried",238400,1250,191,0
"UNITED STA","Onions, dried",5098488,17649,289,0
"CANADA","Mushrooms and truffles, dried",478997,80,5987,0
"GERMANY, F","Mushrooms and truffles, dried",6150,9,683,0
"UNITED KIN","Mushrooms and truffles, dried",41983,17,2470,0
"FRANCE","Other vegetables, dried, nes; mixtures of vegetables, dried",126811,300,423,0
"UNITED KIN","Other vegetables, dried, nes; mixtures of vegetables, dried",753885,396,1904,0
"ITALY","Flourand meal of potato",15626,67,233,0
"UNITED KIN","Flourand meal of potato",10966,98,112,0
"UNITED KIN","Flakes of potato",28545,190,150,0
"UNITED KIN","Tapioca and substitutes therefor prepared from starch, in flakes, etc.",7023,45,156,0
"UNITED KIN","Flour and meal sago, roots or tubers of headings 054.81 and 054.83",48738,970,50,0
"UNITED KIN","Flour meal and powder of the products of any heading of group 057",52169,17,3069,0
"FRANCE","Potatoes prepared or preserved otherwise than by vinegar, etc, frozen",447144,1370,326,0
"GERMANY, F","Potatoes prepared or preserved otherwise than by vinegar, etc, frozen",393655,1080,364,0
"NETHERLAND","Potatoes prepared or preserved otherwise than by vinegar, etc, frozen",345833,700,494,0
"FRANCE","Other vegetables preserved other than by vinegar, etc. frozen nes",402069,810,496,0
"NETHERLAND","Other vegetables preserved other than by vinegar, etc. frozen nes",1437113,1481,970,0
"NORWAY","Other vegetables preserved other than by vinegar, etc. frozen nes",10400,5,2080,0
"SOUTH AFRI","Other vegetables preserved other than by vinegar, etc. frozen nes",304106,400,760,0
"UNITED KIN","Other vegetables preserved other than by vinegar, etc. frozen nes",2524139,3500,721,0
"UNITED STA","Other vegetables preserved other than by vinegar, etc. frozen nes",4637122,4200,1104,0
"FRANCE","Vegetable, fruit, nuts, etc, preserved by vinegar or acetic acid",186911,160,1168,0
"LEBANON","Vegetable, fruit, nuts, etc, preserved by vinegar or acetic acid",1185773,1484,799,0
"NETHERLAND","Vegetable, fruit, nuts, etc, preserved by vinegar or acetic acid",483204,200,242,0
"SOUTH AFRI","Vegetable, fruit, nuts, etc, preserved by vinegar or acetic acid",505441,90,5616,0
"UNITED KIN","Vegetable, fruit, nuts, etc, preserved by vinegar or acetic acid",1886574,16720,113,0
"UNITED STA","Vegetable, fruit, nuts, etc, preserved by vinegar or acetic acid",11419,55,208,0
"LEBANON","Tomatoes, preserved otherwise than by vinegar or acetic acid",74900,300,250,0
"SPAIN","Tomatoes, preserved otherwise than by vinegar or acetic acid",5769600,14400,401,0
"UNITED KIN","Tomatoes, preserved otherwise than by vinegar or acetic acid",360502,1250,288,0
"CANADA","Tomatoes, whole or in pieces, preserved, nes",3294,5,659,0
"ITALY","Tomatoes, whole or in pieces, preserved, nes",886145087,1564234,567,0.05
"SOUTH AFRI","Tomatoes, whole or in pieces, preserved, nes",204340,200,1022,0
"TURKEY","Tomatoes, whole or in pieces, preserved, nes",148697096,207200,718,0.01
"UNITED KIN","Tomatoes, whole or in pieces, preserved, nes",338388,2090,162,0
"UNITED STA","Tomatoes, whole or in pieces, preserved, nes",20547258,41500,495,0
"BELGIUM","Mushrooms and truffles preserved (excl. by vinegar or acetic acid)",329160,570,577,0
"HONG KONG","Mushrooms and truffles preserved (excl. by vinegar or acetic acid)",2287894,2434,940,0
"ITALY","Mushrooms and truffles preserved (excl. by vinegar or acetic acid)",55640,3,18547,0
"LEBANON","Mushrooms and truffles preserved (excl. by vinegar or acetic acid)",50825,320,159,0
"UNITED KIN","Mushrooms and truffles preserved (excl. by vinegar or acetic acid)",952006,21088,45,0
"UNITED KIN","Potatoes preserved otherwise than by vinegar or acetic acid, not frozen",181518,509,357,0
"LEBANON","Sweet corn, prepared or preserved, nes",101650,640,159,0
"SOUTH AFRI","Sweet corn, prepared or preserved, nes",164073,250,656,0
"UNITED KIN","Sweet corn, prepared or preserved, nes",332238,308,1079,0
"UNITED STA","Sweet corn, prepared or preserved, nes",728412,1700,428,0
"BELGIUM","Other vegetables preserved (excl. by vinegar or acetic acid), not frozen",2288520,940,2435,0
"CHINA","Other vegetables preserved (excl. by vinegar or acetic acid), not frozen",16392980,12940,1267,0
